Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
RLD8LDBR,journalArticle,2025,"Landes, Ethan",Is it a tastytaste or a greedgrab? The importance of label choice in language design,Philosophical Psychology,,0951-5089,10.1080/09515089.2025.2531401,https://doi.org/10.1080/09515089.2025.2531401,"Everyone who has come up with a new idea or concept faces the same problem: they need to call it something. This choice is simultaneously arbitrary and important. The new idea could have any name, but some names for it are clearly better than others. This paper builds upon existing research on the perceived relationship between label and word meaning to better understand the way that label choice affects language design, particularly conceptual engineering. Across three experiments, the paper finds that when learning novel concepts, the labels serving as vehicles for the novel concepts affect how people perceive the novel concepts’ content. In particular, the experiments find that labels influence people’s initial perception of novel concepts’ valence. Not all forms of information are readily extracted from labels, however, and subtle forms of information, particularly phonesthemes, do not appear to influence how people learn new concepts. Accordingly, conceptual engineers and other forms of language designers need to do careful research into how a given label will affect how their novel concept is interpreted by others.",2025,2023-01-25 12:49:50,2026-02-17 01:05:16,2025-07-28 10:11:30,1-28,,0,0,,,Is it a tastytaste or a greedgrab?,,,,,Routledge,,,,,,,Taylor and Francis+NEJM,,_eprint: https://doi.org/10.1080/09515089.2025.2531401,,/home/ethan/snap/zotero-snap/common/Zotero/storage/DRUZWDQ3/Landes - Is it a tastytaste or a greedgrab The importance of label choice in language design.pdf,,,Conceptual engineering; conceptual propagation; experimental philosophy; language design; philosophy of language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8S2KYJET,journalArticle,2025,"Landes, Ethan; Voinea, Cristina; Uszkai, Radu",Rage against the authority machines: how to design artificial moral advisors for moral enhancement,AI & SOCIETY,,1435-5655,10.1007/s00146-024-02135-3,https://doi.org/10.1007/s00146-024-02135-3,"This paper aims to clear up the epistemology of learning morality from artificial moral advisors (AMAs). We start with a brief consideration of what counts as moral enhancement and consider the risk of deskilling raised by machines that offer moral advice. We then shift focus to the epistemology of moral advice and show when and under what conditions moral advice can lead to enhancement. We argue that people’s motivational dispositions are enhanced by inspiring people to act morally, instead of merely telling them how to act. Drawing upon these insights, we claim that if AMAs are to genuinely enhance people morally, they should be designed as inspiration and not authority machines. In the final section, we evaluate existing AMA models to shed light on which holds the most promise for helping to make users better moral agents.",2025-04-01,2024-09-27 09:58:55,2026-02-17 01:05:16,2025-06-19 13:34:42,2237-2248,,4,40,,AI & Soc,Rage against the authority machines,,,,,,,en,,,,,Springer Link,,,,/home/ethan/snap/zotero-snap/common/Zotero/storage/CLWQ9URF/Landes et al. - 2024 - Rage against the authority machines how to design artificial moral advisors for moral enhancement.pdf; /Users/etland/Library/CloudStorage/OneDrive-Personal/PDFs/Landes (2025) Rage against the authority machines.pdf,,,Artificial intelligence; Artificial Intelligence; Artificial moral advisors; Deference; Intelligence Augmentation; Meta-Ethics; Moral advice; Moral Development; Moral enhancement; Moral Philosophy and Applied Ethics; Moral Psychology; Philosophy of Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2FHD47HW,journalArticle,2025,"Landes, Ethan",Philosophical Methodology: From Data to Theory,The Philosophical Quarterly,,0031-8094,10.1093/pq/pqae113,https://doi.org/10.1093/pq/pqae113,,2025-04-01,2025-05-04 16:48:52,2026-02-17 01:05:16,2025-05-04 16:48:52,787-790,,2,75,,The Philosophical Quarterly,Philosophical Methodology,,,,,,,,,,,,Silverchair,,,,/home/ethan/snap/zotero-snap/common/Zotero/storage/JBCL5HJB/7750081.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7WZVVK7,journalArticle,2024,"Sękowski, Krzysztof; Landes, Ethan",Conceptual engineering is old news,The Philosophical Quarterly,,0031-8094,10.1093/pq/pqae087,https://doi.org/10.1093/pq/pqae087,"According to a prevailing view, conceptual engineering introduces a revolutionary philosophical methodology, challenging traditional conceptual analysis. However, in our paper, we argue that closer scrutiny reveals not only the falsity but also the inherent ambiguity of this narrative. We explore four interpretations of the ‘Anti-Novelty Claim’, the claim that conceptual engineering is not a new way of doing philosophy. Discussing the Anti-Novelty Claim from the perspective of a text's producer, the text's consumers, and the exegetical potential of the text, we examine each perspective's metaphilosophical implications and demonstrate that taking each perspective requires different methods. Adopting these different methods, we argue that the different interpretations of the Anti-Novelty Claim range from nearly trivially true to unlikely but untested. Importantly, we emphasize that each interpretation offers unique philosophical insights, yet addressing them requires diverse types of evidence, preventing a singular, straightforward answer to whether conceptual engineering is new.",2024-07-31,2024-09-24 15:12:20,2026-02-17 01:05:16,2025-05-04 16:41:35,pqae087,,,,,The Philosophical Quarterly,,,,,,,,,,,,,Silverchair,,,,/home/ethan/snap/zotero-snap/common/Zotero/storage/INKMA9US/Sękowski and Landes - 2024 - Conceptual engineering is old news.pdf; /Users/etland/Library/CloudStorage/OneDrive-Personal/PDFs/Sękowski_Landes (2024) Conceptual engineering is old news.pdf; /home/ethan/snap/zotero-snap/common/Zotero/storage/TI6MULHE/7724643.html; /home/ethan/snap/zotero-snap/common/Zotero/storage/7VPA6JYP/7724643.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P27SISER,journalArticle,2025,"Landes, Ethan; Reuter, Kevin",Conceptual Revision in Action,Review of Philosophy and Psychology,,1878-5166,10.1007/s13164-025-00769-w,https://doi.org/10.1007/s13164-025-00769-w,"Conceptual engineering is the practice of revising concepts to improve how people talk and think. Its ability to improve talk and thought ultimately hinges on the successful dissemination of desired conceptual changes. Unfortunately, the field has been slow to develop methods to directly test what barriers stand in the way of propagation and what methods will most effectively propagate desired conceptual change. In order to test such questions, this paper introduces the masked time-lagged method. The masked time-lagged method tests people’s concepts at a later time than the intervention without participant’s knowledge, allowing us to measure conceptual revision in action. Using a masked time-lagged design on a content internalist framework, we attempted to revise planet and dinosaur in online participants to match experts’ concepts. We successfully revised planet but not dinosaur, demonstrating some of the difficulties conceptual engineers face. Nonetheless, this paper provides conceptual engineers, regardless of framework, with the tools to tackle questions related to implementation empirically and head-on.",2025-04-26,2025-05-04 16:45:58,2026-02-17 01:05:16,2025-05-04 16:45:58,,,,,,Rev.Phil.Psych.,,,,,,,,en,,,,,Springer Link,,,,/home/ethan/snap/zotero-snap/common/Zotero/storage/X5U62NCU/Landes and Reuter - 2025 - Conceptual Revision in Action.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMNZFDFY,journalArticle,2025,"Landes, Ethan",Conceptual Engineering Should be Empirical,Erkenntnis,,1572-8420,10.1007/s10670-025-00923-x,https://doi.org/10.1007/s10670-025-00923-x,"Conceptual engineering is a philosophical method that aims to design and spread conceptual and linguistic devices to cause meaningful changes in the world. So far, however, conceptual engineers have struggled to successfully spread the conceptual and linguistic entities they have designed to their target communities. This paper argues that conceptual engineering is far more likely to succeed if it incorporates empirical data and empirical methods. Because the causal factors influencing the successful propagation of linguistic or conceptual devices are as complicated and interwoven as they are, proper empirical research will greatly boost the likelihood that propagation is successful. In arguing for the superiority of empirical conceptual engineering over armchair-based conceptual engineering, this paper proposes a framework for understanding the causal forces at play in propagation. This is a three-part framework between the label of a lexical item, the psychological states associated with the lexical item, and the worldly things associated with the lexical item. By understanding the way causal forces affecting propagation play out at these three levels, conceptual engineers can better conceptualize, study, and harness the different causal forces affecting the success of their conceptual engineering projects.",2025-02-11,2025-02-24 10:49:00,2026-02-17 01:05:16,2025-05-04 16:44:20,,,,,,Erkenn,,,,,,,,en,,,,,Springer Link,,,,/home/ethan/snap/zotero-snap/common/Zotero/storage/GTSFY6P5/Landes - 2025 - Conceptual Engineering Should be Empirical.pdf; /home/ethan/snap/zotero-snap/common/Zotero/storage/6H4DRCX6/Landes - 2025 - Conceptual Engineering Should be Empirical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNGDSVCE,journalArticle,2023,"Landes, Ethan","Philosophical producers, philosophical consumers, and the metaphilosophical value of original texts",Philosophical Studies,,"0031-8116, 1573-0883",10.1007/s11098-022-01900-8,https://link.springer.com/10.1007/s11098-022-01900-8,"Abstract                            In recent years, two competing methodological frameworks have developed in the study of the epistemology of philosophy. The traditional camp, led by experimental philosophy and its allies, has made inferences about the epistemology of philosophy based on the reactions, or intuitions, people have to works of philosophy. In contrast, multiple authors have followed the lead of Deutsch and Cappelen by setting aside experimental data in favor of inferences based on careful examination of the text of notable works of philosophy. In other words, the debate is split between authors focusing on philosophy’s               consumption               and those focusing on philosophy’s               production               . This paper examines the motivation for focusing on original texts and other evidence of philosophy’s production and finds it lacking. Drawing upon Hills’ distinction between propagation and transmission, I argue that the social epistemology of philosophy does not justify the recent focus on original texts of philosophy. Because the philosophical knowledge of consumers of philosophy is likely               inspired               by producers of philosophy, as opposed to epistemically grounded in the producers’ epistemic states, experimental philosophy had it right all along—if we want to know the epistemic standing of philosophy, we need to look to philosophy’s consumers.",2023-01,2022-10-29 08:30:53,2026-02-17 01:05:16,2025-05-04 16:38:23,207-225,,1,180,,Philos Stud,,,,,,,,en,,,,,DOI.org (Crossref),,,,"/home/ethan/snap/zotero-snap/common/Zotero/storage/MCIU3G5M/Landes - 2023 - Philosophical producers, philosophical consumers, .pdf",,,Intuitions; Metaphilosophy; Method of cases; Testimony; Textual analysis; Thought experiments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7YP4D4D,bookSection,2027,"Landes, Ethan; Everett, J.A.C.","AI Should Develop Human Empathy, Not Replace It","Empathy and Artificial Intelligence: Challenges, Advances, and Ethical Considerations",,,,,,forthcoming,2025-03-17 13:33:27,2026-02-17 01:05:16,,,,,,,,,Studies in Emotion and Social Interaction,,,,Cambridge University Press,,,,,,,,,,,,,,,"Perry, Anat; Cameron, C. Daryl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MS4IRDV,journalArticle,2023,"Landes, Ethan",The threat of the intuition-shaped hole,Inquiry,,0020-174X,10.1080/0020174X.2020.1742784,https://doi.org/10.1080/0020174X.2020.1742784,"The assumption that philosophers rely on intuitions to justify their philosophical positions has recently come under substantial criticism. In order to protect philosophy from experimental findings that suggest that intuitions are epistemically problematic, a number of metaphilosophers have argued that intuitions play no substantial epistemic role in philosophy. This paper focuses on attempts to deny intuitions’ epistemic role through exegetical analysis of original thought experiments. Using Deutsch’s particularly well-developed exegesis of Gettier’s 10 coin case as an exemplar of this method, I examine the challenges the strategy faces. I argue that intuition denial fails to provide a satisfactory account of how verdicts of thought experiments are justified. Instead, it commits intuition deniers to the conclusion that the arguments of Gettier, Kripke, Thomson, and others are bad arguments. As a result, rather than defusing challenges to the case method raised by experimental philosophers, intuition denial ultimately leads to the same troubling conclusion – that philosophers hold their positions on bad grounds.",2023-04-21,2020-03-18 16:34:44,2026-02-17 01:05:16,2023-10-26 14:19:41,539-564,,4,66,,,,,,,,Routledge,,,,,,,Taylor and Francis+NEJM,,_eprint: https://doi.org/10.1080/0020174X.2020.1742784,,/Users/etland/Library/CloudStorage/OneDrive-Personal/PDFs/Landes (2023) The threat of the intuition-shaped hole.pdf; /home/ethan/snap/zotero-snap/common/Zotero/storage/FHEUB6A2/0020174X.2020.html,,,Gettier cases; intuitions; Metaphilosophy; thought experiments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3BYX2VDY,bookSection,2025,"Landes, Ethan","How Language Teaches and Misleads: ""Coronavirus"" and ""Social Distancing"" as Case Studies",New Perspectives on Conceptual Engineering,,,,,,2025,2023-06-29 13:47:14,2026-02-17 01:05:16,,,,,,,,,,,,,Synthese Library,,,,,,,,,,,,,,,"Isaac, Manuel Gustavo; Koch, Steffen; Scharp, Kevin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
