pub_date,title,venue,excerpt,citation,url_slug,paper_url,slides_url,category
2025-01-01,Is it a tastytaste or a greedgrab? The importance of label choice in language design,Philosophical Psychology,NA,,14203,https://doi.org/10.1080/09515089.2025.2531401,,manuscripts
2025-01-01,Rage against the authority machines: how to design artificial moral advisors for moral enhancement,AI & SOCIETY,NA,,33778,https://doi.org/10.1007/s00146-024-02135-3,,manuscripts
2025-01-01,Philosophical Methodology: From Data to Theory,The Philosophical Quarterly,NA,,3836,https://doi.org/10.1093/pq/pqae113,,manuscripts
2024-01-01,Conceptual engineering is old news,The Philosophical Quarterly,NA,,52976,https://doi.org/10.1093/pq/pqae087,,manuscripts
2025-01-01,Conceptual Revision in Action,Review of Philosophy and Psychology,NA,,47067,https://doi.org/10.1007/s13164-025-00769-w,,manuscripts
2025-01-01,Conceptual Engineering Should be Empirical,Erkenntnis,NA,,37899,https://doi.org/10.1007/s10670-025-00923-x,,manuscripts
2023-01-01,"Philosophical producers, philosophical consumers, and the metaphilosophical value of original texts",Philosophical Studies,NA,,52618,https://link.springer.com/10.1007/s11098-022-01900-8,,manuscripts
2027-01-01,"AI Should Develop Human Empathy, Not Replace It","Empathy and Artificial Intelligence: Challenges, Advances, and Ethical Considerations",NA,,38824,NA,,manuscripts
2023-01-01,The threat of the intuition-shaped hole,Inquiry,NA,,85420,https://doi.org/10.1080/0020174X.2020.1742784,,manuscripts
2025-01-01,"How Language Teaches and Misleads: ""Coronavirus"" and ""Social Distancing"" as Case Studies",New Perspectives on Conceptual Engineering,NA,,27489,NA,,manuscripts
2026-01-01,Trust in artificial moral advisors across cultures,NA,NA,,49966,https://osf.io/preprints/psyarxiv/sfe9u_v1/,,manuscripts
2026-01-01,"People defer to AI moral advice, but not blindly",Cognition,"<div data-schema-version=""9""><p>This is a test note</p> <p></p> </div>",,69092,https://www.sciencedirect.com/science/article/pii/S0010027726000703,,manuscripts
2027-01-01,Trust in Ai is Not a Conceptual Confusion,Ergo,NA,,9607,NA,,manuscripts
