pub_date	title	venue	excerpt	paper_url	citation	site_url
2025	Is it a tastytaste or a greedgrab? The importance of label choice in language design	Philosophical Psychology	NA	https://doi.org/10.1080/09515089.2025.2531401	TBD	TBD
2025	Rage against the authority machines: how to design artificial moral advisors for moral enhancement	AI & SOCIETY	NA	https://doi.org/10.1007/s00146-024-02135-3	TBD	TBD
2025	Philosophical Methodology: From Data to Theory	The Philosophical Quarterly	NA	https://doi.org/10.1093/pq/pqae113	TBD	TBD
2024	Conceptual engineering is old news	The Philosophical Quarterly	NA	https://doi.org/10.1093/pq/pqae087	TBD	TBD
2025	Conceptual Revision in Action	Review of Philosophy and Psychology	NA	https://doi.org/10.1007/s13164-025-00769-w	TBD	TBD
2025	Conceptual Engineering Should be Empirical	Erkenntnis	NA	https://doi.org/10.1007/s10670-025-00923-x	TBD	TBD
2023	Philosophical producers, philosophical consumers, and the metaphilosophical value of original texts	Philosophical Studies	NA	https://link.springer.com/10.1007/s11098-022-01900-8	TBD	TBD
NA	AI Should Develop Human Empathy, Not Replace It	Empathy and Artificial Intelligence: Challenges, Advances, and Ethical Considerations	NA	NA	TBD	TBD
2023	The threat of the intuition-shaped hole	Inquiry	NA	https://doi.org/10.1080/0020174X.2020.1742784	TBD	TBD
2025	How Language Teaches and Misleads: ""Coronavirus"" and ""Social Distancing"" as Case Studies	New Perspectives on Conceptual Engineering	NA	NA	TBD	TBD
2026	Trust in artificial moral advisors across cultures	NA	NA	https://osf.io/preprints/psyarxiv/sfe9u_v1/	TBD	TBD
2026	People defer to AI moral advice, but not blindly	Cognition	<div data-schema-version=""9""><p>This is a test note</p> <p></p> </div>	https://www.sciencedirect.com/science/article/pii/S0010027726000703	TBD	TBD
NA	Trust in Ai is Not a Conceptual Confusion	Ergo	NA	NA	TBD	TBD
